,ID Ticket,Fecha,Tipo,Categoría,ID Empleado,ID Agente,Severidad,Prioridad,Días Resolución,Satisfacción
42,GDLEER-2344023650,2020-07-11,Problema,Software,575,36,2 - Normal,0 - Sin Asignar,3,5
43,GDLEER-2344055508,2020-08-12,Problema,Software,270,5,4 - Crítico,0 - Sin Asignar,3,5
44,GDLEER-2344088868,2020-09-14,Problema,Software,1406,38,4 - Crítico,0 - Sin Asignar,3,5
45,GDLEER-2344170195,2020-12-05,Problema,Software,1099,21,2 - Normal,0 - Sin Asignar,3,5
46,GDLEER-2543867531,2020-02-06,Problema,Software,1093,25,2 - Normal,0 - Sin Asignar,5,5
47,GDLEER-2643831390,2020-01-01,Problema,Hardware,269,3,2 - Normal,0 - Sin Asignar,16,5
48,GDLEER-2643911859,2020-03-21,Problema,Software,1095,28,2 - Normal,0 - Sin Asignar,6,5
49,GDLEER-2843854392,2020-01-24,Problema,Hardware,1769,33,2 - Normal,0 - Sin Asignar,1,5
50,GDLEER-2843946435,2020-04-25,Problema,Hardware,1813,14,2 - Normal,0 - Sin Asignar,8,5
51,GDLEER-2943975518,2020-05-24,Problema,Hardware,221,15,2 - Normal,0 - Sin Asignar,9,5
52,GDLEER-3043875250,2020-02-14,Problema,Software,1055,12,2 - Normal,0 - Sin Asignar,0,5
53,GDLEER-3044094952,2020-09-20,Problema,Software,1435,29,2 - Normal,0 - Sin Asignar,0,5
54,GDLEER-3143864550,2020-02-03,Problema,Software,685,5,4 - Crítico,0 - Sin Asignar,1,5
55,GDLEER-3143867960,2020-02-06,Problema,Software,846,29,2 - Normal,0 - Sin Asignar,1,5
56,GDLEER-3144081546,2020-09-07,Problema,Software,1274,5,2 - Normal,0 - Sin Asignar,1,5
57,GDLEER-3243906314,2020-03-16,Problema,Software,821,43,2 - Normal,0 - Sin Asignar,2,5
58,GDLEER-3244097472,2020-09-23,Problema,Software,1797,44,2 - Normal,0 - Sin Asignar,2,5
59,GDLEER-3244103757,2020-09-29,Problema,Software,1615,47,2 - Normal,0 - Sin Asignar,2,5
60,GDLEER-3343960570,2020-05-09,Problema,Software,1087,45,2 - Normal,0 - Sin Asignar,3,5
61,GDLEER-3443925308,2020-04-04,Problema,Software,740,33,2 - Normal,0 - Sin Asignar,4,5
62,GDLEER-3643967143,2020-05-16,Problema,Hardware,1304,31,2 - Normal,0 - Sin Asignar,6,5
63,GDLEER-3644013272,2020-07-01,Problema,Software,1767,12,2 - Normal,0 - Sin Asignar,6,5
64,GDLEER-3644108564,2020-10-04,Problema,Hardware,1166,45,2 - Normal,0 - Sin Asignar,6,5
65,GDLEER-3844041216,2020-07-29,Problema,Software,721,22,2 - Normal,0 - Sin Asignar,8,5
66,GDLEER-4043929297,2020-04-08,Problema,Software,629,12,2 - Normal,0 - Sin Asignar,0,5
67,GDLEER-4044183077,2020-12-18,Problema,Software,1137,20,2 - Normal,0 - Sin Asignar,0,5
68,GDLEER-4143957926,2020-05-06,Problema,Hardware,1532,9,2 - Normal,0 - Sin Asignar,15,5
69,GDLEER-4144148009,2020-11-13,Problema,Software,1540,10,2 - Normal,0 - Sin Asignar,1,5
70,GDLEER-4144170112,2020-12-05,Problema,Software,1641,31,2 - Normal,0 - Sin Asignar,1,5
71,GDLEER-4244074818,2020-08-31,Problema,Software,1141,8,2 - Normal,0 - Sin Asignar,2,5
72,GDLEER-4343970775,2020-05-19,Problema,Software,1167,27,2 - Normal,0 - Sin Asignar,3,1
73,GDLEER-4443834504,2020-01-04,Problema,Software,570,45,2 - Normal,0 - Sin Asignar,4,5
74,GDLEER-4444043769,2020-07-31,Problema,Hardware,996,37,2 - Normal,0 - Sin Asignar,14,5
75,GDLEER-4544054712,2020-08-11,Problema,Hardware,481,37,2 - Normal,0 - Sin Asignar,5,5
76,GDLEER-4544069364,2020-08-26,Problema,Software,436,23,2 - Normal,0 - Sin Asignar,5,5
77,GDLEER-4544157771,2020-11-22,Problema,Hardware,1237,47,2 - Normal,0 - Sin Asignar,5,5
78,GDLEER-4643839382,2020-01-09,Problema,Software,1948,43,2 - Normal,0 - Sin Asignar,6,5
79,GDLEER-4643983609,2020-06-01,Problema,Hardware,1000,36,2 - Normal,0 - Sin Asignar,6,5
80,GDLEER-4644112980,2020-10-08,Problema,Software,1878,9,2 - Normal,0 - Sin Asignar,6,5
81,GDLEER-4743840770,2020-01-10,Problema,Hardware,527,27,2 - Normal,0 - Sin Asignar,7,1
82,GDLEER-4744132997,2020-10-28,Problema,Software,1469,9,2 - Normal,0 - Sin Asignar,7,5
83,GDLEER-4843920764,2020-03-30,Problema,Hardware,1886,27,2 - Normal,0 - Sin Asignar,8,5
84,GDLEER-5043901238,2020-03-11,Problema,Software,1793,42,2 - Normal,0 - Sin Asignar,0,5
85,GDLEER-5044130047,2020-10-26,Problema,Software,844,30,2 - Normal,0 - Sin Asignar,0,5
86,GDLEER-5044193269,2020-12-28,Problema,Software,536,2,2 - Normal,0 - Sin Asignar,0,5
87,GDLEER-5143879892,2020-02-18,Problema,Software,1449,8,2 - Normal,0 - Sin Asignar,1,5
88,GDLEER-5144133169,2020-10-29,Problema,Software,1106,31,2 - Normal,0 - Sin Asignar,1,5
89,GDLEER-5144145588,2020-11-10,Problema,Software,468,15,2 - Normal,0 - Sin Asignar,1,5
90,GDLEER-5243934835,2020-04-13,Problema,Software,1843,18,2 - Normal,0 - Sin Asignar,2,1
91,GDLEER-5244177519,2020-12-12,Problema,Software,1751,45,2 - Normal,0 - Sin Asignar,2,5
92,GDLEER-5543879164,2020-02-18,Problema,Hardware,746,21,2 - Normal,0 - Sin Asignar,5,5
93,GDLEER-5643890632,2020-02-29,Problema,Software,1743,26,4 - Crítico,0 - Sin Asignar,6,5
94,GDLEER-6143846384,2020-01-16,Problema,Software,338,43,2 - Normal,0 - Sin Asignar,1,5
95,GDLEER-6143905054,2020-03-15,Problema,Software,1145,30,2 - Normal,0 - Sin Asignar,1,1
96,GDLEER-6143956062,2020-05-05,Problema,Software,326,10,2 - Normal,0 - Sin Asignar,1,5
97,GDLEER-6144088566,2020-09-14,Problema,Software,1306,15,2 - Normal,0 - Sin Asignar,1,5
98,GDLEER-6144107636,2020-10-03,Problema,Software,833,26,2 - Normal,0 - Sin Asignar,1,5
99,GDLEER-6243930568,2020-04-09,Problema,Hardware,1076,5,2 - Normal,0 - Sin Asignar,12,5
100,GDLEER-6243986381,2020-06-04,Problema,Software,8,43,2 - Normal,0 - Sin Asignar,2,5
101,GDLEER-6244091451,2020-09-17,Problema,Software,765,34,2 - Normal,0 - Sin Asignar,2,5
102,GDLEER-6543959851,2020-05-08,Problema,Hardware,1505,38,2 - Normal,0 - Sin Asignar,5,5
103,GDLEER-6544061671,2020-08-18,Problema,Software,1267,36,2 - Normal,0 - Sin Asignar,5,5
104,GDLEER-6544079778,2020-09-05,Problema,Software,1377,47,2 - Normal,0 - Sin Asignar,5,5
105,GDLEER-6544149170,2020-11-14,Problema,Hardware,177,21,2 - Normal,0 - Sin Asignar,5,5
106,GDLEER-6643973507,2020-05-22,Problema,Hardware,700,45,2 - Normal,0 - Sin Asignar,6,5
107,GDLEER-6644030842,2020-07-18,Problema,Hardware,1014,48,2 - Normal,0 - Sin Asignar,6,5
108,GDLEER-6743886855,2020-02-25,Problema,Software,285,48,2 - Normal,0 - Sin Asignar,7,5
109,GDLEER-6743967784,2020-05-16,Problema,Hardware,758,17,2 - Normal,0 - Sin Asignar,7,5
110,GDLEER-6744063047,2020-08-20,Problema,Software,934,30,2 - Normal,0 - Sin Asignar,7,5
111,GDLEER-6843888553,2020-02-27,Problema,Hardware,1085,45,2 - Normal,0 - Sin Asignar,8,5
112,GDLEER-6843993398,2020-06-11,Problema,Software,1199,23,2 - Normal,0 - Sin Asignar,8,5
113,GDLEER-7043864296,2020-02-03,Problema,Software,459,2,2 - Normal,0 - Sin Asignar,0,5
114,GDLEER-7044127543,2020-10-23,Problema,Software,1824,15,4 - Crítico,0 - Sin Asignar,10,5
115,GDLEER-7143845470,2020-01-15,Problema,Software,37,34,2 - Normal,0 - Sin Asignar,1,5
116,GDLEER-7143933650,2020-04-12,Problema,Software,1405,16,2 - Normal,0 - Sin Asignar,1,5
117,GDLEER-7143934849,2020-04-13,Problema,Software,354,8,2 - Normal,0 - Sin Asignar,1,5
118,GDLEER-7144080297,2020-09-06,Problema,Software,369,12,2 - Normal,0 - Sin Asignar,1,5
119,GDLEER-7243939551,2020-04-18,Problema,Software,295,35,2 - Normal,0 - Sin Asignar,2,5
120,GDLEER-7244005006,2020-06-23,Problema,Software,140,30,2 - Normal,0 - Sin Asignar,2,1
121,GDLEER-7244051723,2020-08-08,Problema,Software,1692,17,2 - Normal,0 - Sin Asignar,2,5
122,GDLEER-7343868826,2020-02-07,Problema,Software,1752,18,2 - Normal,0 - Sin Asignar,3,1
123,GDLEER-7343967740,2020-05-16,Problema,Software,844,17,2 - Normal,0 - Sin Asignar,3,5
124,GDLEER-7344127719,2020-10-23,Problema,Software,1401,17,2 - Normal,0 - Sin Asignar,3,5
125,GDLEER-7344194948,2020-12-29,Problema,Software,674,19,2 - Normal,0 - Sin Asignar,3,5
126,GDLEER-7444061108,2020-08-18,Problema,Software,540,21,2 - Normal,0 - Sin Asignar,4,5
127,GDLEER-7544025598,2020-07-13,Problema,Hardware,239,15,2 - Normal,0 - Sin Asignar,5,5
128,GDLEER-7544079194,2020-09-05,Problema,Software,169,11,2 - Normal,0 - Sin Asignar,5,5
129,GDLEER-7743853675,2020-01-23,Problema,Software,1837,26,2 - Normal,0 - Sin Asignar,7,5
130,GDLEER-7743964141,2020-05-13,Problema,Software,1884,1,2 - Normal,0 - Sin Asignar,7,5
131,GDLEER-7844008887,2020-06-26,Problema,Hardware,718,38,2 - Normal,0 - Sin Asignar,6,5
132,GDLEER-7944092417,2020-09-18,Problema,Software,1551,24,2 - Normal,0 - Sin Asignar,9,5
133,GDLEER-8143931786,2020-04-10,Problema,Software,1478,27,2 - Normal,0 - Sin Asignar,1,5
134,GDLEER-8243955234,2020-05-04,Problema,Software,1903,12,2 - Normal,0 - Sin Asignar,2,5
135,GDLEER-8244072114,2020-08-29,Problema,Software,1171,21,2 - Normal,0 - Sin Asignar,2,5
136,GDLEER-8244118635,2020-10-14,Problema,Software,1113,16,2 - Normal,0 - Sin Asignar,2,5
137,GDLEER-8244138076,2020-11-03,Problema,Software,77,20,2 - Normal,0 - Sin Asignar,2,1
138,GDLEER-8244175748,2020-12-10,Problema,Software,1264,17,2 - Normal,0 - Sin Asignar,2,5
139,GDLEER-8343861818,2020-01-31,Problema,Software,351,38,2 - Normal,0 - Sin Asignar,3,5
140,GDLEER-8344007470,2020-06-25,Problema,Software,997,34,2 - Normal,0 - Sin Asignar,3,5
141,GDLEER-8344075711,2020-09-01,Problema,Software,1941,17,2 - Normal,0 - Sin Asignar,3,1
142,GDLEER-8444050903,2020-08-07,Problema,Software,70,49,2 - Normal,0 - Sin Asignar,4,5
143,GDLEER-8543873407,2020-02-12,Problema,Hardware,760,44,2 - Normal,0 - Sin Asignar,5,5
144,GDLEER-8544019561,2020-07-07,Problema,Software,856,15,2 - Normal,0 - Sin Asignar,5,5
145,GDLEER-8644154789,2020-11-19,Problema,Software,1238,27,2 - Normal,0 - Sin Asignar,6,5
146,GDLEER-8644174129,2020-12-09,Problema,Hardware,292,31,2 - Normal,0 - Sin Asignar,6,5
147,GDLEER-8744069112,2020-08-26,Problema,Hardware,1491,31,2 - Normal,0 - Sin Asignar,7,5
148,GDLEER-8844067320,2020-08-24,Problema,Hardware,672,43,2 - Normal,0 - Sin Asignar,8,5
149,GDLEER-8943839540,2020-01-09,Problema,Software,1964,25,2 - Normal,0 - Sin Asignar,9,5
150,GDLEER-8944092397,2020-09-18,Problema,Hardware,309,43,4 - Crítico,0 - Sin Asignar,9,5
151,GDLEER-9044148932,2020-11-13,Problema,Software,933,29,2 - Normal,0 - Sin Asignar,0,5
152,GDLEER-9144078202,2020-09-04,Problema,Software,1290,12,2 - Normal,0 - Sin Asignar,1,5
153,GDLEER-9144089752,2020-09-15,Problema,Software,265,37,2 - Normal,0 - Sin Asignar,1,5
154,GDLEER-9144182573,2020-12-17,Problema,Software,897,15,2 - Normal,0 - Sin Asignar,1,5
155,GDLEER-9243844176,2020-01-14,Problema,Software,1977,31,2 - Normal,0 - Sin Asignar,2,5
156,GDLEER-9244073630,2020-08-30,Problema,Software,1883,26,2 - Normal,0 - Sin Asignar,2,5
157,GDLEER-9244113652,2020-10-09,Problema,Software,85,36,2 - Normal,0 - Sin Asignar,2,5
158,GDLEER-9244194303,2020-12-29,Problema,Software,1290,23,2 - Normal,0 - Sin Asignar,2,5
159,GDLEER-9543841808,2020-01-11,Problema,Hardware,1010,48,2 - Normal,0 - Sin Asignar,5,5
160,GDLEER-9544058569,2020-08-15,Problema,Software,1416,5,2 - Normal,0 - Sin Asignar,5,5
161,GDLEER-9544068559,2020-08-25,Problema,Hardware,1485,45,2 - Normal,0 - Sin Asignar,5,5
162,GDLEER-9544083902,2020-09-09,Problema,Hardware,1910,29,2 - Normal,0 - Sin Asignar,5,5
163,GDLEER-9644005148,2020-06-23,Problema,Hardware,764,21,2 - Normal,0 - Sin Asignar,6,5
164,GDLEER-9744056511,2020-08-13,Problema,Hardware,71,5,2 - Normal,0 - Sin Asignar,17,5
165,GDLEER-9744060294,2020-08-17,Problema,Software,1089,22,2 - Normal,0 - Sin Asignar,7,1
166,GDLEER-9744101839,2020-09-27,Problema,Hardware,933,8,2 - Normal,0 - Sin Asignar,7,1
167,GDLEER-9744115929,2020-10-11,Problema,Software,1172,9,2 - Normal,0 - Sin Asignar,7,5
168,GDLEER-9843975956,2020-05-24,Problema,Hardware,315,39,2 - Normal,0 - Sin Asignar,14,5
169,GDLEET-1343973214,2020-05-22,Problema,Software,551,42,2 - Normal,0 - Sin Asignar,3,5
170,GDLEET-1543970793,2020-05-19,Problema,Hardware,1499,27,2 - Normal,0 - Sin Asignar,5,5
171,GDLEET-1644124776,2020-10-20,Problema,Hardware,1917,17,2 - Normal,0 - Sin Asignar,6,5
172,GDLEET-2044076229,2020-09-02,Problema,Hardware,242,2,2 - Normal,0 - Sin Asignar,10,5
173,GDLEET-2243963563,2020-05-12,Problema,Software,1256,45,2 - Normal,0 - Sin Asignar,2,5
174,GDLEET-2244159737,2020-11-24,Problema,Software,473,47,2 - Normal,0 - Sin Asignar,2,5
175,GDLEET-2344036168,2020-07-24,Problema,Software,1836,21,2 - Normal,0 - Sin Asignar,3,5
176,GDLEET-2344095851,2020-09-21,Problema,Software,1215,8,2 - Normal,0 - Sin Asignar,3,5
177,GDLEET-2544113005,2020-10-09,Problema,Hardware,1950,10,2 - Normal,0 - Sin Asignar,5,5
178,GDLEET-2744059931,2020-08-16,Problema,Software,413,19,4 - Crítico,0 - Sin Asignar,7,5
179,GDLEET-3143841583,2020-01-11,Problema,Software,518,45,2 - Normal,0 - Sin Asignar,1,5
180,GDLEET-3844046150,2020-08-03,Problema,Hardware,855,21,2 - Normal,0 - Sin Asignar,8,5
181,GDLEET-4444086415,2020-09-12,Problema,Software,901,34,2 - Normal,0 - Sin Asignar,4,5
182,GDLEET-4544049159,2020-08-06,Problema,Software,1855,31,2 - Normal,0 - Sin Asignar,5,5
183,GDLEET-5043874540,2020-02-13,Problema,Software,964,5,2 - Normal,0 - Sin Asignar,0,5
184,GDLEET-5543984376,2020-06-02,Problema,Hardware,167,43,2 - Normal,0 - Sin Asignar,5,5
185,GDLEET-5744074229,2020-08-31,Problema,Hardware,1562,12,4 - Crítico,0 - Sin Asignar,7,5
186,GDLEET-6043884534,2020-02-23,Problema,Hardware,1993,45,2 - Normal,0 - Sin Asignar,10,5
187,GDLEET-6243832099,2020-01-02,Problema,Software,39,20,2 - Normal,0 - Sin Asignar,2,5
188,GDLEET-6244025879,2020-07-13,Problema,Software,747,18,2 - Normal,0 - Sin Asignar,2,5
189,GDLEET-6244071038,2020-08-28,Problema,Software,33,40,2 - Normal,0 - Sin Asignar,2,5
190,GDLEET-6544191024,2020-12-26,Problema,Hardware,1052,20,2 - Normal,0 - Sin Asignar,5,1
191,GDLEET-6643870210,2020-02-09,Problema,Hardware,1851,42,2 - Normal,0 - Sin Asignar,6,5
192,GDLEET-6643898534,2020-03-08,Problema,Software,1173,25,2 - Normal,0 - Sin Asignar,6,1
193,GDLEET-7044009141,2020-06-27,Problema,Software,14,21,2 - Normal,0 - Sin Asignar,0,5
194,GDLEET-7143868926,2020-02-07,Problema,Hardware,652,49,2 - Normal,0 - Sin Asignar,11,5
195,GDLEET-7244190550,2020-12-25,Problema,Software,1045,25,2 - Normal,0 - Sin Asignar,2,1
196,GDLEET-7443950561,2020-04-29,Problema,Software,556,15,2 - Normal,0 - Sin Asignar,4,5
197,GDLEET-7643840592,2020-01-10,Problema,Hardware,999,5,2 - Normal,0 - Sin Asignar,6,5
198,GDLEET-8144060118,2020-08-17,Problema,Software,681,31,2 - Normal,0 - Sin Asignar,1,5
199,GDLEET-9344032097,2020-07-20,Problema,Software,1659,30,2 - Normal,0 - Sin Asignar,3,1
200,GDLEET-9344125581,2020-10-21,Problema,Software,418,25,2 - Normal,0 - Sin Asignar,13,5
201,GDLEET-9644152208,2020-11-17,Problema,Hardware,1090,2,2 - Normal,0 - Sin Asignar,6,5
202,GDLEET-9743888750,2020-02-27,Problema,Hardware,465,47,2 - Normal,0 - Sin Asignar,7,5
203,GDLEET-9944129732,2020-10-25,Problema,Hardware,1633,47,2 - Normal,0 - Sin Asignar,9,5
204,GDLENR-0043854071,2020-01-24,Problema,Acceso/Login,777,30,2 - Normal,0 - Sin Asignar,0,1
205,GDLENR-0043870605,2020-02-09,Problema,Acceso/Login,1840,36,2 - Normal,0 - Sin Asignar,0,5
206,GDLENR-0043879747,2020-02-18,Problema,Acceso/Login,394,17,2 - Normal,0 - Sin Asignar,0,5
207,GDLENR-0043908097,2020-03-18,Problema,Acceso/Login,1089,40,2 - Normal,0 - Sin Asignar,0,5
208,GDLENR-0043970151,2020-05-19,Problema,Acceso/Login,1755,31,2 - Normal,0 - Sin Asignar,0,5
209,GDLENR-0044000371,2020-06-18,Problema,Acceso/Login,647,23,2 - Normal,0 - Sin Asignar,0,5
210,GDLENR-0044093200,2020-09-19,Problema,Acceso/Login,940,42,2 - Normal,0 - Sin Asignar,0,5
211,GDLENR-0044141498,2020-11-06,Problema,Acceso/Login,1749,24,2 - Normal,0 - Sin Asignar,0,5
212,GDLENR-0044165539,2020-11-30,Problema,Acceso/Login,1983,45,2 - Normal,0 - Sin Asignar,0,5
213,GDLENR-0143854295,2020-01-24,Problema,Acceso/Login,1159,32,2 - Normal,0 - Sin Asignar,1,5
214,GDLENR-1043831064,2020-01-01,Problema,Acceso/Login,436,30,2 - Normal,0 - Sin Asignar,0,1
215,GDLENR-1043905824,2020-03-15,Problema,Acceso/Login,1712,8,2 - Normal,0 - Sin Asignar,0,5
216,GDLENR-1043960143,2020-05-09,Problema,Acceso/Login,1304,41,2 - Normal,0 - Sin Asignar,0,5
217,GDLENR-1043992853,2020-06-10,Problema,Acceso/Login,1945,38,2 - Normal,0 - Sin Asignar,0,5
218,GDLENR-1043998394,2020-06-16,Problema,Acceso/Login,479,33,2 - Normal,0 - Sin Asignar,0,5
219,GDLENR-1044000293,2020-06-18,Problema,Acceso/Login,1489,32,2 - Normal,0 - Sin Asignar,0,5
220,GDLENR-1044023762,2020-07-11,Problema,Acceso/Login,416,47,2 - Normal,0 - Sin Asignar,0,5
221,GDLENR-1044038284,2020-07-26,Problema,Acceso/Login,1428,2,2 - Normal,0 - Sin Asignar,0,5
222,GDLENR-1044051288,2020-08-08,Problema,Acceso/Login,1828,2,2 - Normal,0 - Sin Asignar,0,5
223,GDLENR-1044090679,2020-09-16,Problema,Acceso/Login,197,26,2 - Normal,0 - Sin Asignar,0,5
224,GDLENR-1044127278,2020-10-23,Problema,Acceso/Login,1067,12,2 - Normal,0 - Sin Asignar,0,5
225,GDLENR-1044131104,2020-10-27,Problema,Acceso/Login,1860,31,2 - Normal,0 - Sin Asignar,0,5
226,GDLENR-1044142741,2020-11-07,Problema,Acceso/Login,704,37,2 - Normal,0 - Sin Asignar,0,5
227,GDLENR-1044158156,2020-11-23,Problema,Acceso/Login,895,21,2 - Normal,0 - Sin Asignar,0,5
228,GDLENR-1143916881,2020-03-26,Problema,Acceso/Login,688,18,2 - Normal,0 - Sin Asignar,1,5
229,GDLENR-1144015469,2020-07-03,Problema,Acceso/Login,1406,14,2 - Normal,0 - Sin Asignar,1,5
230,GDLENR-1144161992,2020-11-26,Problema,Acceso/Login,1969,19,2 - Normal,0 - Sin Asignar,1,1
231,GDLENR-2043843494,2020-01-13,Problema,Acceso/Login,459,4,2 - Normal,0 - Sin Asignar,0,5
232,GDLENR-2043907463,2020-03-17,Problema,Acceso/Login,1866,14,2 - Normal,0 - Sin Asignar,0,5
233,GDLENR-2043966253,2020-05-15,Problema,Acceso/Login,985,2,2 - Normal,0 - Sin Asignar,0,5
234,GDLENR-2043974493,2020-05-23,Problema,Acceso/Login,69,34,2 - Normal,0 - Sin Asignar,0,5
235,GDLENR-2043975199,2020-05-24,Problema,Acceso/Login,1829,21,2 - Normal,0 - Sin Asignar,0,5
236,GDLENR-2043979611,2020-05-28,Problema,Acceso/Login,1371,46,2 - Normal,0 - Sin Asignar,0,5
237,GDLENR-2044020707,2020-07-08,Problema,Acceso/Login,380,27,2 - Normal,0 - Sin Asignar,0,1
238,GDLENR-2044040227,2020-07-28,Problema,Acceso/Login,622,12,2 - Normal,0 - Sin Asignar,0,5
239,GDLENR-2044081945,2020-09-07,Problema,Acceso/Login,1614,9,2 - Normal,0 - Sin Asignar,0,5
240,GDLENR-2044155498,2020-11-20,Problema,Acceso/Login,1619,4,2 - Normal,0 - Sin Asignar,0,5
241,GDLENR-2044193104,2020-12-28,Problema,Acceso/Login,1700,41,2 - Normal,0 - Sin Asignar,0,1
242,GDLENR-2143976652,2020-05-25,Problema,Acceso/Login,845,36,2 - Normal,0 - Sin Asignar,1,5
243,GDLENR-2243900042,2020-03-10,Problema,Acceso/Login,1134,30,2 - Normal,0 - Sin Asignar,2,5
244,GDLENR-2243948679,2020-04-27,Problema,Acceso/Login,487,16,2 - Normal,0 - Sin Asignar,2,5
245,GDLENR-3043908433,2020-03-18,Problema,Acceso/Login,243,44,2 - Normal,0 - Sin Asignar,0,5
246,GDLENR-3043946376,2020-04-25,Problema,Acceso/Login,197,33,2 - Normal,0 - Sin Asignar,0,5
247,GDLENR-3043951535,2020-04-30,Problema,Acceso/Login,1203,15,4 - Crítico,0 - Sin Asignar,0,5
248,GDLENR-3043996176,2020-06-14,Problema,Acceso/Login,517,21,2 - Normal,0 - Sin Asignar,0,5
249,GDLENR-3044011540,2020-06-29,Problema,Acceso/Login,1004,45,2 - Normal,0 - Sin Asignar,0,5
