,ID Ticket,Fecha,ID Empleado,ID Agente,Categoría,Tipo,Severidad,Prioridad,Días Resolución,Satisfacción
42,GDLEER-4442859246,2017-05-04,1904,12,Software,Problema,2 - Normal,0 - Sin Asignar,4,5
43,GDLEER-4542770421,2017-02-04,1172,24,Software,Problema,2 - Normal,0 - Sin Asignar,5,5
44,GDLEER-4643084708,2017-12-15,1880,27,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
45,GDLEER-4742881542,2017-05-26,1324,45,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,1
46,GDLEER-4942855105,2017-04-30,840,1,Software,Problema,2 - Normal,0 - Sin Asignar,9,5
47,GDLEER-5242822490,2017-03-28,1649,14,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
48,GDLEER-5542922235,2017-07-06,1953,32,Software,Problema,4 - Crítico,0 - Sin Asignar,5,5
49,GDLEER-5543027902,2017-10-19,380,19,Hardware,Problema,2 - Normal,0 - Sin Asignar,2,1
50,GDLEER-5643022138,2017-10-14,283,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
51,GDLEER-5742809712,2017-03-15,561,37,Software,Problema,2 - Normal,0 - Sin Asignar,7,1
52,GDLEER-6043018400,2017-10-10,1660,44,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
53,GDLEER-6143095064,2017-12-26,856,10,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
54,GDLEER-6242864646,2017-05-09,1464,26,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
55,GDLEER-6242939590,2017-07-23,1349,5,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
56,GDLEER-6542751001,2017-01-16,450,30,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
57,GDLEER-6542772161,2017-02-06,346,21,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
58,GDLEER-6542837486,2017-04-12,1248,34,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
59,GDLEER-6543086409,2017-12-17,800,24,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
60,GDLEER-6642870903,2017-05-15,1600,19,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,5
61,GDLEER-6942907325,2017-06-21,2,33,Software,Problema,2 - Normal,0 - Sin Asignar,9,5
62,GDLEER-7042804516,2017-03-10,1491,15,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
63,GDLEER-7142833656,2017-04-08,1435,26,Hardware,Problema,2 - Normal,0 - Sin Asignar,14,5
64,GDLEER-7142912177,2017-06-26,1067,11,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
65,GDLEER-7242970418,2017-08-23,921,24,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
66,GDLEER-7442962516,2017-08-15,691,45,Software,Problema,2 - Normal,0 - Sin Asignar,4,1
67,GDLEER-7642793164,2017-02-27,306,31,Hardware,Problema,2 - Normal,0 - Sin Asignar,6,1
68,GDLEER-8042839362,2017-04-14,576,33,Software,Problema,2 - Normal,0 - Sin Asignar,10,5
69,GDLEER-8042839448,2017-04-14,744,34,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
70,GDLEER-8042975627,2017-08-28,1112,26,Hardware,Problema,2 - Normal,0 - Sin Asignar,10,5
71,GDLEER-8242921959,2017-07-05,1835,29,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
72,GDLEER-8342932833,2017-07-16,523,48,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
73,GDLEER-8343007157,2017-09-29,1065,41,Hardware,Problema,2 - Normal,0 - Sin Asignar,13,5
74,GDLEER-8442975686,2017-08-28,1118,16,Hardware,Problema,2 - Normal,0 - Sin Asignar,16,5
75,GDLEER-8542773185,2017-02-07,528,41,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
76,GDLEER-8542875174,2017-05-20,1137,21,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
77,GDLEER-8743063030,2017-11-24,1843,20,Hardware,Problema,2 - Normal,0 - Sin Asignar,17,5
78,GDLEER-9042939993,2017-07-23,1459,29,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
79,GDLEER-9142921721,2017-07-05,1332,17,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
80,GDLEER-9142981581,2017-09-03,18,35,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
81,GDLEER-9242859815,2017-05-04,321,8,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
82,GDLEER-9242876828,2017-05-21,882,8,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
83,GDLEER-9342775713,2017-02-09,1811,17,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
84,GDLEER-9542755767,2017-01-20,236,47,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
85,GDLEER-9542758263,2017-01-23,826,2,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
86,GDLEER-9542759797,2017-01-24,1289,47,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
87,GDLEER-9642933179,2017-07-17,177,11,Software,Problema,2 - Normal,0 - Sin Asignar,6,1
88,GDLEER-9843081950,2017-12-12,1915,9,Hardware,Problema,2 - Normal,0 - Sin Asignar,9,1
89,GDLEER-9942860076,2017-05-05,1207,40,Hardware,Problema,2 - Normal,0 - Sin Asignar,9,5
90,GDLEET-0842901337,2017-06-15,323,33,Hardware,Problema,2 - Normal,0 - Sin Asignar,8,1
91,GDLEET-1143078635,2017-12-09,163,36,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
92,GDLEET-2042836202,2017-04-11,1590,32,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
93,GDLEET-3043086378,2017-12-17,537,43,Hardware,Problema,2 - Normal,0 - Sin Asignar,10,5
94,GDLEET-3642950687,2017-08-03,408,46,Hardware,Problema,2 - Normal,0 - Sin Asignar,11,5
95,GDLEET-4143057965,2017-11-18,316,19,Hardware,Problema,2 - Normal,0 - Sin Asignar,11,1
96,GDLEET-4643004487,2017-09-26,418,4,Software,Problema,4 - Crítico,0 - Sin Asignar,6,5
97,GDLEET-4742819919,2017-03-25,1511,19,Hardware,Problema,2 - Normal,0 - Sin Asignar,7,5
98,GDLEET-5143028710,2017-10-20,661,37,Software,Problema,2 - Normal,0 - Sin Asignar,1,1
99,GDLEET-5243028763,2017-10-20,1916,27,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
100,GDLEET-5742755989,2017-01-20,548,9,Software,Problema,2 - Normal,0 - Sin Asignar,7,5
101,GDLEET-7142942758,2017-07-26,1855,37,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
102,GDLEET-7143004464,2017-09-26,146,24,Software,Problema,2 - Normal,0 - Sin Asignar,1,5
103,GDLEET-7543098555,2017-12-29,435,15,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
104,GDLEET-8042762821,2017-01-27,1312,8,Software,Problema,2 - Normal,0 - Sin Asignar,0,5
105,GDLEET-8543055742,2017-11-16,134,17,Hardware,Problema,2 - Normal,0 - Sin Asignar,5,5
106,GDLEET-9242774199,2017-02-08,1429,31,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
107,GDLEET-9242875180,2017-05-20,848,31,Software,Problema,2 - Normal,0 - Sin Asignar,2,5
108,GDLEET-9342946868,2017-07-30,526,8,Software,Problema,2 - Normal,0 - Sin Asignar,3,5
109,GDLENR-0042768528,2017-02-02,372,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
110,GDLENR-0042787460,2017-02-21,1016,34,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
111,GDLENR-0042813806,2017-03-19,1780,8,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
112,GDLENR-0042898471,2017-06-12,827,44,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
113,GDLENR-0043018752,2017-10-10,1845,7,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
114,GDLENR-0043053702,2017-11-14,610,27,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
115,GDLENR-0142944228,2017-07-28,552,22,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
116,GDLENR-0143063133,2017-11-24,693,11,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
117,GDLENR-0242909440,2017-06-23,1574,24,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,2,5
118,GDLENR-1042758509,2017-01-23,1510,35,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
119,GDLENR-1042785338,2017-02-19,773,33,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
120,GDLENR-1042856160,2017-05-01,1886,11,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
121,GDLENR-1042870200,2017-05-15,650,2,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
122,GDLENR-1042877573,2017-05-22,367,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
123,GDLENR-1142856679,2017-05-01,857,6,Acceso%&Login,Problema,4 - Crítico,0 - Sin Asignar,1,1
124,GDLENR-1142920132,2017-07-04,1083,21,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
125,GDLENR-2042787129,2017-02-21,742,31,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
126,GDLENR-2042811130,2017-03-17,1083,31,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
127,GDLENR-2042824521,2017-03-30,472,5,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
128,GDLENR-2042969152,2017-08-22,815,31,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
129,GDLENR-2042970064,2017-08-23,1296,10,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
130,GDLENR-2042979565,2017-09-01,626,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
131,GDLENR-2043055154,2017-11-16,1645,31,Acceso%&Login,Problema,4 - Crítico,0 - Sin Asignar,0,5
132,GDLENR-2043057383,2017-11-18,428,43,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
133,GDLENR-2043087512,2017-12-18,1321,5,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
134,GDLENR-2142792570,2017-02-26,1207,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
135,GDLENR-2142930247,2017-07-14,324,2,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
136,GDLENR-3042814577,2017-03-20,1967,5,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
137,GDLENR-3042981075,2017-09-03,467,20,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
138,GDLENR-3042996042,2017-09-18,124,10,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
139,GDLENR-3043091569,2017-12-22,456,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
140,GDLENR-3142909442,2017-06-23,1034,14,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,1
141,GDLENR-3242922580,2017-07-06,338,35,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,2,5
142,GDLENR-4042883150,2017-05-28,1135,21,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
143,GDLENR-4042969495,2017-08-22,1869,24,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
144,GDLENR-4142988749,2017-09-10,1404,37,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,1
145,GDLENR-4242943044,2017-07-27,514,30,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,2,5
146,GDLENR-5042786342,2017-02-20,354,43,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
147,GDLENR-5042795248,2017-03-01,1084,42,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
148,GDLENR-5042799775,2017-03-05,337,17,Acceso%&Login,Problema,4 - Crítico,0 - Sin Asignar,0,5
149,GDLENR-5042821154,2017-03-27,1615,11,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
150,GDLENR-5042822582,2017-03-28,1138,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
151,GDLENR-5042856982,2017-05-01,18,39,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
152,GDLENR-5042934466,2017-07-18,336,24,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
153,GDLENR-5043044991,2017-11-05,959,19,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
154,GDLENR-5043046818,2017-11-07,1461,8,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
155,GDLENR-5043071329,2017-12-02,402,43,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
156,GDLENR-5242825827,2017-03-31,1802,48,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,2,5
157,GDLENR-6042872152,2017-05-17,1395,21,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
158,GDLENR-6042926443,2017-07-10,1104,14,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
159,GDLENR-6042937027,2017-07-21,162,10,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
160,GDLENR-6042951903,2017-08-04,300,29,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
161,GDLENR-6042958169,2017-08-11,1546,41,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
162,GDLENR-6043061979,2017-11-22,427,29,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
163,GDLENR-6142790335,2017-02-24,833,3,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
164,GDLENR-6142923427,2017-07-07,622,44,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
165,GDLENR-7042806400,2017-03-12,800,34,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
166,GDLENR-7042815692,2017-03-21,989,26,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
167,GDLENR-7042858455,2017-05-03,415,24,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
168,GDLENR-7042904652,2017-06-18,885,36,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
169,GDLENR-7042922149,2017-07-06,64,31,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
170,GDLENR-7042960509,2017-08-13,1960,5,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
171,GDLENR-7042982802,2017-09-04,460,48,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
172,GDLENR-7042989509,2017-09-11,170,5,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
173,GDLENR-7043006063,2017-09-28,76,30,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
174,GDLENR-7043044380,2017-11-05,208,33,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
175,GDLENR-7043098528,2017-12-29,1822,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
176,GDLENR-7142803908,2017-03-09,200,29,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
177,GDLENR-7142813441,2017-03-19,254,44,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
178,GDLENR-7142892611,2017-06-06,1901,16,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
179,GDLENR-8042832749,2017-04-07,324,27,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
180,GDLENR-8043034706,2017-10-26,240,47,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
181,GDLENR-8142755617,2017-01-20,1931,6,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,1
182,GDLENR-8142813955,2017-03-19,275,19,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,1
183,GDLENR-9042744428,2017-01-09,1512,24,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
184,GDLENR-9042802626,2017-03-08,592,16,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
185,GDLENR-9042816735,2017-03-22,343,27,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
186,GDLENR-9042825171,2017-03-31,427,21,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
187,GDLENR-9042924225,2017-07-08,1452,42,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
188,GDLENR-9042938146,2017-07-22,724,41,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
189,GDLENR-9042966946,2017-08-19,364,49,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
190,GDLENR-9043026261,2017-10-18,676,2,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
191,GDLENR-9043090442,2017-12-21,384,34,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
192,GDLENR-9142911587,2017-06-25,1448,25,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,1,5
193,GDLENT-0042829238,2017-04-04,173,2,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
194,GDLENT-0042942743,2017-07-26,1604,17,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
195,GDLENT-0043030785,2017-10-22,48,27,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
196,GDLENT-3042910544,2017-06-24,194,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
197,GDLENT-4042818286,2017-03-24,168,12,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
198,GDLENT-6042737801,2017-01-02,960,18,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
199,GDLENT-6042785533,2017-02-19,1173,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
200,GDLENT-7042803577,2017-03-09,397,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
201,GDLENT-7042846715,2017-04-21,1431,17,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
202,GDLENT-8042784555,2017-02-18,495,15,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
203,GDLENT-8042953982,2017-08-06,1538,19,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,1
204,GDLENT-9043050317,2017-11-11,1781,33,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
205,GDLENT-9043070214,2017-12-01,551,2,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
206,GDLENT-9043075523,2017-12-06,652,45,Acceso%&Login,Problema,2 - Normal,0 - Sin Asignar,0,5
207,GDLESR-0242846166,2017-04-21,1596,41,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,5
208,GDLESR-0342823219,2017-03-29,1801,12,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
209,GDLESR-0342826029,2017-04-01,772,40,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
210,GDLESR-0342874285,2017-05-19,248,12,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
211,GDLESR-0342933405,2017-07-17,940,34,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
212,GDLESR-1142957021,2017-08-10,1232,40,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
213,GDLESR-1242835698,2017-04-10,669,16,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,1
214,GDLESR-1242911519,2017-06-25,351,5,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,5
215,GDLESR-1243024100,2017-10-16,1700,21,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,5
216,GDLESR-1342802015,2017-03-08,811,20,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,1
217,GDLESR-1343047594,2017-11-08,359,45,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
218,GDLESR-1442819124,2017-03-25,1062,31,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,1
219,GDLESR-1443074649,2017-12-05,674,16,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,1
220,GDLESR-1443088759,2017-12-19,285,27,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,5
221,GDLESR-1643041184,2017-11-02,1948,11,Sistema,Problema,2 - Normal,0 - Sin Asignar,6,5
222,GDLESR-2142751863,2017-01-16,1406,38,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
223,GDLESR-2142771239,2017-02-05,1053,2,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
224,GDLESR-2142868374,2017-05-13,1277,43,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
225,GDLESR-2142870035,2017-05-15,1903,30,Sistema,Problema,2 - Normal,0 - Sin Asignar,11,5
226,GDLESR-2343026148,2017-10-18,1384,1,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
227,GDLESR-2442791097,2017-02-25,819,30,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,5
228,GDLESR-2443070656,2017-12-01,405,36,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,5
229,GDLESR-3143078065,2017-12-09,326,40,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,1
230,GDLESR-3242801077,2017-03-07,107,20,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,1
231,GDLESR-3242817425,2017-03-23,822,44,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,5
232,GDLESR-3342741521,2017-01-06,672,45,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
233,GDLESR-3442761630,2017-01-26,1293,36,Sistema,Problema,2 - Normal,0 - Sin Asignar,4,5
234,GDLESR-3443032153,2017-10-24,1345,21,Sistema,Problema,4 - Crítico,0 - Sin Asignar,4,5
235,GDLESR-3542807283,2017-03-13,428,2,Sistema,Problema,2 - Normal,0 - Sin Asignar,5,5
236,GDLESR-3542875915,2017-05-20,41,19,Sistema,Problema,2 - Normal,0 - Sin Asignar,5,1
237,GDLESR-3743005319,2017-09-27,41,23,Sistema,Problema,2 - Normal,0 - Sin Asignar,17,5
238,GDLESR-4142872422,2017-05-17,522,24,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
239,GDLESR-4143049848,2017-11-10,734,38,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
240,GDLESR-4242854258,2017-04-29,1065,42,Sistema,Problema,2 - Normal,0 - Sin Asignar,2,5
241,GDLESR-4342873262,2017-05-18,576,2,Sistema,Problema,2 - Normal,0 - Sin Asignar,3,5
242,GDLESR-5042958868,2017-08-11,1516,28,Sistema,Problema,2 - Normal,0 - Sin Asignar,10,1
243,GDLESR-5142800190,2017-03-06,1459,31,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
244,GDLESR-5142865290,2017-05-10,1029,42,Sistema,Problema,2 - Normal,0 - Sin Asignar,1,5
